gene_id	calu6_untreated_rep1_rnaseq	calu6_untreated_rep2_rnaseq	calu6_g418_rep1_rnaseq	calu6_g418_rep2_rnaseq
ENSG00000290825.2	0.0	0.0	0.0	0.0
ENSG00000223972.6	0.0	0.0	0.0	0.0
ENSG00000310526.1	0.3935973785411189	0.0	0.4009122425737078	0.4562970480143101
ENSG00000227232.6	0.0	0.0	0.0	0.0
ENSG00000278267.1	0.0	0.0	0.0	0.0
ENSG00000243485.6	0.0	0.0	0.0	0.44340397307758905
ENSG00000284332.1	0.0	0.0	0.0	0.0
ENSG00000237613.3	0.0	0.0	0.0	0.0
ENSG00000308361.1	0.0	0.0	0.0	0.0
ENSG00000290826.2	0.0	0.0	0.0	0.0
ENSG00000268020.3	0.0	0.0	0.0	0.0
ENSG00000240361.3	0.0	0.0	0.0	0.0
ENSG00000186092.7	0.0	0.0	0.0	0.0
ENSG00000241860.8	0.091410333183055	0.0	0.0	0.0
ENSG00000239945.1	0.0	0.0	0.0	0.0
ENSG00000308314.1	0.0	0.0	0.0	0.0
ENSG00000233750.3	0.0	0.0	0.0	0.0
ENSG00000308579.1	0.0	0.0	0.0	0.0
ENSG00000268903.1	0.0	0.0	0.0	0.0
ENSG00000269981.1	0.0	0.0	0.0	0.0
ENSG00000239906.1	0.0	0.0	0.0	0.0
ENSG00000310528.1	0.0	0.0	0.0	0.0
ENSG00000222623.1	0.0	0.0	0.0	0.0
ENSG00000241599.1	0.0	0.0	0.0	0.0
ENSG00000308415.1	0.0	0.0	0.0	0.0
ENSG00000310527.1	0.3507790370449988	0.4212925761557793	0.44662267223047714	0.30499334059756816
ENSG00000279928.2	0.0	0.0	0.0	0.0
ENSG00000279457.4	0.0	0.0	0.0	0.0
ENSG00000273874.1	0.0	0.0	0.0	0.0
ENSG00000308625.1	0.0	0.0	0.0	0.0
ENSG00000308544.1	0.0	0.0	0.0	0.0
ENSG00000292994.2	0.14464212625385556	0.34743612106055916	0.0	0.0
ENSG00000228463.11	0.0	0.0	0.0	0.0
ENSG00000306775.1	0.0	0.0	0.0	0.0
ENSG00000286448.2	0.0	0.0	0.0	0.0
ENSG00000236679.2	0.0	0.0	0.0	0.0
ENSG00000236601.3	0.0	0.0	0.0	0.0
ENSG00000290385.2	0.0	0.0	0.16874878500477575	0.09603045788695798
ENSG00000269732.1	0.0	0.0	0.0	0.0
ENSG00000284733.2	0.0	0.0	0.0	0.0
ENSG00000237094.13	0.0	0.0	0.0	0.0
ENSG00000233653.3	0.0	0.0	0.0	0.0
ENSG00000250575.1	0.0	0.0	0.0	0.0
ENSG00000278757.1	0.0	0.0	0.0	0.0
ENSG00000293331.2	0.0	0.0	0.0	0.0
ENSG00000225880.7	0.11286812154474225	0.0	0.48860437165016074	0.2944077764186972
ENSG00000235146.3	0.0	0.0	0.0	0.0
ENSG00000225972.1	0.0	0.0	21.90468099545863	33.24099462684893
ENSG00000225630.1	2.5542358617012266	3.067687896490646	11.707674325158921	25.909826990036706
ENSG00000237973.1	12.097443731245992	4.151219914369715	43.56802720354021	74.12978775825484
ENSG00000278791.1	0.0	0.0	0.0	0.0
ENSG00000229344.1	7.820006567789092	14.087974328165254	11.948007815704706	40.79576613295096
ENSG00000240409.1	12.882233041623579	0.0	0.0	3.7335899762040476
ENSG00000248527.1	1004.3885528069377	691.3244142417421	796.7063782327677	1296.0327001979142
ENSG00000198744.5	19.499979814377188	11.709931129565755	48.414550865648046	83.36075754914081
ENSG00000268663.1	0.0	0.0	0.0	0.0
ENSG00000284662.2	0.0	0.0	0.0	0.0
ENSG00000230021.11	0.0	0.0	0.0	0.0
ENSG00000229376.3	0.5431002524676336	0.0	0.0	0.0
ENSG00000223181.1	0.0	0.0	0.0	0.0
ENSG00000229905.1	0.0	0.0	0.0	0.0
ENSG00000228327.6	0.0	0.0	0.0	0.0
ENSG00000237491.11	0.2967529756973159	1.0692186169384268	0.07556700543725992	0.08600635711932314
ENSG00000285268.1	0.0	0.0	0.0	0.0
ENSG00000230092.8	0.0	0.0	0.0	0.0
ENSG00000177757.3	0.0	0.0	0.0	0.0
ENSG00000228794.13	2.3013960401310913	4.756689469558473	2.9710949375262814	2.6059594776106287
ENSG00000297178.1	0.0	0.0	1.206119202236621	0.45758029903744096
ENSG00000297224.1	0.0	0.0	0.0	0.0
ENSG00000230368.3	0.5505000494665732	0.0	0.0	0.0
ENSG00000234711.1	0.0	0.0	0.0	0.0
ENSG00000283040.1	0.0	0.0	0.0	0.0
ENSG00000296088.1	1.7566681420395789	0.0	0.0	0.0
ENSG00000272438.2	0.0	0.3165628312677903	0.26847686502291884	0.4583491895270758
ENSG00000298603.1	0.0	0.0	1.628405541628819	0.0
ENSG00000223764.3	0.0	0.4884346749940879	0.0	0.35360063675807735
ENSG00000187634.15	0.22288718151254436	0.0	0.6810883759871791	0.25839288701913665
ENSG00000188976.13	8.244996816508277	17.519638903682573	133.80636802161058	98.43330918712196
ENSG00000187961.17	0.0	0.9253586142549074	10.594751801906312	8.038922999905392
ENSG00000187583.13	0.3787815681272842	0.0	1.3503738000041257	1.0978027344804513
ENSG00000187642.12	0.0	0.0	0.1599635125698981	0.18206198470535637
ENSG00000303599.1	1.7969152558059842	0.0	0.9151551359288647	3.1247430932920666
ENSG00000272512.1	0.0	0.0	0.9765749437093254	0.0
